0,1,2,3,4
FILE NAME,STYLE LABEL,"SEMANTIC LABEL (WHAT IS IT, eg, door, column, highrise)",FUNCTIONAL LABEL (how functional is it on a scale of 1-5),AESTHETIC LABEL (how visually pleasing is it on a scale of 1-5
Separated/housesets/house1/house_1.1.obj,baroque,house,4,4
Separated/housesets/house1/house_1.2.obj,baroque,house,4,3
Separated/housesets/house1/house_1.3.obj,baroque,house,4,3
Separated/housesets/house1/house_1.4.obj,baroque,house,4,3
Separated/housesets/house1/house_1.5.obj,baroque,house,5,4
Separated/housesets/house1/house_1.6.obj,baroque,house,5,4
Separated/housesets/house1/house_1.7.obj,cubist,house,4,3
Separated/housesets/house1/house_1.8.obj,cubist,house,4,3
Separated/housesets/house1/house_1.9.obj,cubist,house,4,3
Separated/housesets/house1/house_1.10.obj,cubist,house,4,4
Separated/housesets/house1/house_1.11.obj,cubist,house,4,4
Separated/housesets/house1/house_1.12.obj,cubist,house,4,4
Separated/housesets/house1/house_1.13.obj,cubist,house,4,3
Separated/housesets/house1/house_1.14.obj,cubist,house,4,3
Separated/housesets/house1/house_1.15.obj,cubist,house,4,3
Separated/housesets/house1/house_1.16.obj,cubist,house,4,4
Separated/housesets/house1/house_1.17.obj,cubist,house,4,3
Separated/housesets/house1/house_1.18.obj,cubist,house,4,3
Separated/housesets/house1/house_1.19.obj,cubist,house,4,3
Separated/housesets/house1/house_1.20.obj,cubist,house,4,3
Separated/housesets/house1/house_1.21.obj,cubist,house,4,3
Separated/housesets/house1/house_1.22.obj,cubist,house,4,3
Separated/housesets/house1/house_1.23.obj,cubist,house,4,3
Separated/housesets/house1/house_1.24.obj,cubist,house,4,3
Separated/housesets/house1/house_1.25.obj,cubist,house,4,4
Separated/housesets/house1/house_1.26.obj,cubist,house,5,5
Separated/housesets/house1/house_1.27.obj,cubist,house,5,5
Separated/housesets/house1/house_1.28.obj,cubist,house,5,5
Separated/housesets/house1/house_1.29.obj,cubist,house,5,5
Separated/housesets/house1/house_1.30.obj,cubist,house,4,5
,,,,
Separated/housesets/house2/house_2.1.obj,cubist,house,3,1
Separated/housesets/house2/house_2.2.obj,cubist,house,2,1
Separated/housesets/house2/house_2.3.obj,cubist,house,2,1
Separated/housesets/house2/house_2.4.obj,cubist,house,2,1
Separated/housesets/house2/house_2.5.obj,cubist,house,1,1
Separated/housesets/house2/house_2.6.obj,cubist,house,2,1
Separated/housesets/house2/house_2.7.obj,cubist,house,1,1
Separated/housesets/house2/house_2.8.obj,cubist,house,2,3
Separated/housesets/house2/house_2.9.obj,cubist,house,2,1
Separated/housesets/house2/house_2.10.obj,cubist,house,3,2
Separated/housesets/house2/house_2.11.obj,cubist,house,3,3
Separated/housesets/house2/house_2.12.obj,cubist,house,3,3
Separated/housesets/house2/house_2.13.obj,cubist,house,3,3
Separated/housesets/house2/house_2.14.obj,cubist,house,3,4
Separated/housesets/house2/house_2.15.obj,cubist,house,4,4
